Golden_Globe_Winner_ID,Winner,Year_Ceremony,Movie_Name,Golden_Globe_Award,GG_Award_ID
1,"Fabelmans, The",2023,The Fabelmans,Best Motion Picture - Drama,GG001
2,Cate Blanchett,2023,TÁR,Best Performance by an Actress in a Motion Picture - Drama,GG002
3,Austin Butler,2023,Elvis,Best Performance by an Actor in a Motion Picture - Drama,GG003
4,"Banshees of Inisherin, The",2023,The Banshees of Inisherin,Best Motion Picture - Musical or Comedy,GG004
5,Michelle Yeoh,2023,Everything Everywhere All at Once,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
6,Colin Farrell,2023,The Banshees of Inisherin,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
7,Guillermo del Toro's Pinocchio,2023,Guillermo del Toro's Pinocchio,Best Motion Picture - Animated,GG007
8,"Argentina, 1985",2023,"Argentina, 1985",Best Motion Picture – Non-English Language,GG008
9,Angela Bassett,2023,Black Panther: Wakanda Forever,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
10,Ke Huy Quan,2023,Everything Everywhere All at Once,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
11,Steven Spielberg,2023,The Fabelmans,Best Director - Motion Picture,GG011
12,Martin McDonagh,2023,The Banshees of Inisherin,Best Screenplay - Motion Picture,GG012
13,Justin Hurwitz,2023,Babylon,Best Original Score - Motion Picture,GG013
14,Naatu Naatu,2023,RRR,Best Original Song - Motion Picture,GG014
15,"Power of the Dog, The",2022,The Power of the Dog,Best Motion Picture - Drama,GG001
16,Nicole Kidman,2022,Being the Ricardos,Best Performance by an Actress in a Motion Picture - Drama,GG002
17,Will Smith,2022,King Richard,Best Performance by an Actor in a Motion Picture - Drama,GG003
18,West Side Story (2021),2022,West Side Story (2021),Best Motion Picture - Musical or Comedy,GG004
19,Rachel Zegler,2022,West Side Story (2021),Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
20,Andrew Garfield,2022,"tick, tick...BOOM!",Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
21,Encanto,2022,Encanto,Best Motion Picture - Animated,GG007
22,Ariana DeBose,2022,West Side Story (2021),Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
23,Kodi Smit-McPhee,2022,The Power of the Dog,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
24,Jane Campion,2022,The Power of the Dog,Best Director - Motion Picture,GG011
25,Kenneth Branagh,2022,Belfast,Best Screenplay - Motion Picture,GG012
26,Hans Zimmer,2022,Dune,Best Original Score - Motion Picture,GG013
27,No Time To Die,2022,No Time To Die,Best Original Song - Motion Picture,GG014
28,Nomadland,2021,Nomadland,Best Motion Picture - Drama,GG001
29,Andra Day,2021,The United States vs. Billie Holiday,Best Performance by an Actress in a Motion Picture - Drama,GG002
30,Chadwick Boseman,2021,Ma Rainey's Black Bottom,Best Performance by an Actor in a Motion Picture - Drama,GG003
31,Borat Subsequent Moviefilm,2021,Borat Subsequent Moviefilm,Best Motion Picture - Musical or Comedy,GG004
32,Rosamund Pike,2021,I Care A Lot,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
33,Sacha Baron Cohen,2021,Borat Subsequent Moviefilm,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
34,Soul,2021,Soul,Best Motion Picture - Animated,GG007
35,Minari,2021,Minari,Best Motion Picture – Non-English Language,GG008
36,Jodie Foster,2021,The Mauritanian,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
37,Daniel Kaluuya,2021,Judas and the Black Messiah,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
38,Chloé Zhao,2021,Nomadland,Best Director - Motion Picture,GG011
39,Aaron Sorkin,2021,The Trial of the Chicago 7,Best Screenplay - Motion Picture,GG012
40,"Trent Reznor, Atticus Ross, Jon Batiste",2021,Soul,Best Original Score - Motion Picture,GG013
41,1917,2020,1917,Best Motion Picture - Drama,GG001
42,Renée Zellweger,2020,Judy,Best Performance by an Actress in a Motion Picture - Drama,GG002
43,Awkwafina .,2020,The Farewell,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
44,Taron Egerton,2020,Rocketman,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
45,Missing Link,2020,Missing Link,Best Motion Picture - Animated,GG007
46,Parasite,2020,Parasite,Best Motion Picture – Non-English Language,GG008
47,Laura Dern,2020,Marriage Story,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
48,Brad Pitt,2020,Once Upon a Time...in Hollywood,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
49,Sam Mendes,2020,1917,Best Director - Motion Picture,GG011
50,Quentin Tarantino,2020,Once Upon a Time...in Hollywood,Best Screenplay - Motion Picture,GG012
51,Hildur Guðnadóttir,2020,Joker,Best Original Score - Motion Picture,GG013
52,I'm Gonna Love Me Again,2020,Rocketman,Best Original Song - Motion Picture,GG014
53,Bohemian Rhapsody,2019,Bohemian Rhapsody,Best Motion Picture - Drama,GG001
54,Green Book,2019,Green Book,Best Motion Picture - Musical or Comedy,GG004
55,Spider-Man: Into the Spider-Verse,2019,Spider-Man: Into the Spider-Verse,Best Motion Picture - Animated,GG007
56,Roma,2019,Roma,Best Motion Picture – Non-English Language,GG008
57,Glenn Close,2019,The Wife,Best Performance by an Actress in a Motion Picture - Drama,GG002
58,Olivia Colman,2019,The Favourite,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
59,Christian Bale,2019,Vice,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
60,Alfonso Cuarón,2019,Roma,Best Director - Motion Picture,GG011
61,"Nick Vallelonga, Brian Currie, Peter Farrelly",2019,Green Book,Best Screenplay - Motion Picture,GG012
62,Shallow,2019,"Star Is Born, A (2018)",Best Original Song - Motion Picture,GG014
63,"Three Billboards Outside Ebbing, Missouri",2018,"Three Billboards Outside Ebbing, Missouri",Best Motion Picture - Drama,GG001
64,Lady Bird,2018,Lady Bird,Best Motion Picture - Musical or Comedy,GG004
65,Coco,2018,Coco,Best Motion Picture - Animated,GG007
66,In The Fade,2018,In The Fade,Best Motion Picture – Non-English Language,GG008
67,Frances McDormand,2018,"Three Billboards Outside Ebbing, Missouri",Best Performance by an Actress in a Motion Picture - Drama,GG002
68,Gary Oldman,2018,Darkest Hour,Best Performance by an Actor in a Motion Picture - Drama,GG003
69,Saoirse Ronan,2018,Lady Bird,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
70,James Franco,2018,The Disaster Artist,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
71,Sam Rockwell,2018,"Three Billboards Outside Ebbing, Missouri",Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
72,Guillermo Del Toro,2018,The Shape of Water,Best Director - Motion Picture,GG011
73,Alexandre Desplat,2018,The Shape of Water,Best Original Score - Motion Picture,GG013
74,Zootopia,2017,Zootopia,Best Motion Picture - Animated,GG007
75,Moonlight,2017,Moonlight,Best Motion Picture - Drama,GG001
76,Elle,2017,Elle,Best Motion Picture – Non-English Language,GG008
77,La La Land,2017,La La Land,Best Motion Picture - Musical or Comedy,GG004
78,"""City of Stars""",2017,La La Land,Best Original Song - Motion Picture,GG014
79,Casey Affleck,2017,Manchester by the Sea,Best Performance by an Actor in a Motion Picture - Drama,GG003
80,Ryan Gosling,2017,La La Land,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
81,Aaron Taylor-Johnson,2017,Nocturnal Animals,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
82,Isabelle Huppert,2017,Elle,Best Performance by an Actress in a Motion Picture - Drama,GG002
83,Alejandro González Iñárritu,2016,The Revenant,Best Director - Motion Picture,GG011
84,Inside Out,2016,Inside Out,Best Motion Picture - Animated,GG007
85,The Revenant,2016,The Revenant,Best Motion Picture - Drama,GG001
86,Son of Saul,2016,Son of Saul,Best Motion Picture – Non-English Language,GG008
87,The Martian,2016,The Martian,Best Motion Picture - Musical or Comedy,GG004
88,Ennio Morricone,2016,The Hateful Eight,Best Original Score - Motion Picture,GG013
89,"""Writing's On The Wall""",2016,Spectre,Best Original Song - Motion Picture,GG014
90,Leonardo DiCaprio,2016,The Revenant,Best Performance by an Actor in a Motion Picture - Drama,GG003
91,Matt Damon,2016,The Martian,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
92,Sylvester Stallone,2016,Creed,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
93,Kate Winslet,2016,Steve Jobs,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
94,Eddie Redmayne,2015,The Theory of Everything,Best Performance by an Actor in a Motion Picture - Drama,GG003
95,Jóhann Jóhannsson,2015,The Theory of Everything,Best Original Score - Motion Picture,GG013
96,Patricia Arquette,2015,Boyhood,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
97,Richard Linklater,2015,Boyhood,Best Director - Motion Picture,GG011
98,Michael Keaton,2015,Birdman,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
99,"Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bó",2015,Birdman,Best Screenplay - Motion Picture,GG012
100,Amy Adams,2015,Big Eyes,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
101,Julianne Moore,2015,Still Alice,Best Performance by an Actress in a Motion Picture - Drama,GG002
102,J.K. Simmons,2015,Whiplash,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
103,"Grand Budapest Hotel, The",2015,The Grand Budapest Hotel,Best Motion Picture - Musical or Comedy,GG004
104,How to Train Your Dragon 2,2015,How to Train Your Dragon 2,Best Motion Picture - Animated,GG007
105,Leviathan,2015,Leviathan,Best Motion Picture – Non-English Language,GG008
106,"""Glory""",2015,Selma,Best Original Song - Motion Picture,GG014
107,Boyhood,2015,Boyhood,Best Motion Picture - Drama,GG001
108,Jennifer Lawrence,2014,American Hustle,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
109,Matthew McConaughey,2014,Dallas Buyers Club,Best Performance by an Actor in a Motion Picture - Drama,GG003
110,Jared Leto,2014,Dallas Buyers Club,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
111,Leonardo DiCaprio,2014,The Wolf of Wall Street,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
112,American Hustle,2014,American Hustle,Best Motion Picture - Musical or Comedy,GG004
113,Frozen,2014,Frozen,Best Motion Picture - Animated,GG007
114,The Great Beauty,2014,The Great Beauty,Best Motion Picture – Non-English Language,GG008
115,12 Years a Slave,2014,12 Years a Slave,Best Motion Picture - Drama,GG001
116,Ordinary Love,2014,Mandela: Long Walk to Freedom,Best Original Song - Motion Picture,GG014
117,Ben Affleck,2013,Argo,Best Director - Motion Picture,GG011
118,Christoph Waltz,2013,Django Unchained,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
119,Mychael Danna,2013,Life of Pi,Best Original Score - Motion Picture,GG013
120,Daniel Day-Lewis,2013,Lincoln,Best Performance by an Actor in a Motion Picture - Drama,GG003
121,Jennifer Lawrence,2013,Silver Linings Playbook,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
122,Jessica Chastain,2013,Zero Dark Thirty,Best Performance by an Actress in a Motion Picture - Drama,GG002
123,Anne Hathaway,2013,Les Misérables,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
124,Les Misérables,2013,Les Misérables,Best Motion Picture - Musical or Comedy,GG004
125,Brave,2013,Brave,Best Motion Picture - Animated,GG007
126,Amour,2013,Amour,Best Motion Picture – Non-English Language,GG008
